trajectory_id,pair_id,condition,paradigm,task_family,steps,has_agent_text,has_tool_actions,has_final_text,has_intermediate_text,has_finish_reason,has_observable_refusal_surface,notes
v1_coding_C1_bug_fix_explicit_s00_control,v1_coding_C1_bug_fix_explicit_s00,control,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s00_treatment,v1_coding_C1_bug_fix_explicit_s00,treatment,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s01_control,v1_coding_C1_bug_fix_explicit_s01,control,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s01_treatment,v1_coding_C1_bug_fix_explicit_s01,treatment,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s02_control,v1_coding_C1_bug_fix_explicit_s02,control,coding,bug_fix,7,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s02_treatment,v1_coding_C1_bug_fix_explicit_s02,treatment,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s03_control,v1_coding_C1_bug_fix_explicit_s03,control,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s03_treatment,v1_coding_C1_bug_fix_explicit_s03,treatment,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s04_control,v1_coding_C1_bug_fix_explicit_s04,control,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_explicit_s04_treatment,v1_coding_C1_bug_fix_explicit_s04,treatment,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s00_control,v1_coding_C1_bug_fix_indirect_s00,control,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s00_treatment,v1_coding_C1_bug_fix_indirect_s00,treatment,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s01_control,v1_coding_C1_bug_fix_indirect_s01,control,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s01_treatment,v1_coding_C1_bug_fix_indirect_s01,treatment,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s02_control,v1_coding_C1_bug_fix_indirect_s02,control,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s02_treatment,v1_coding_C1_bug_fix_indirect_s02,treatment,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s03_control,v1_coding_C1_bug_fix_indirect_s03,control,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s03_treatment,v1_coding_C1_bug_fix_indirect_s03,treatment,coding,bug_fix,8,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
v1_coding_C1_bug_fix_indirect_s04_control,v1_coding_C1_bug_fix_indirect_s04,control,coding,bug_fix,9,True,True,True,False,True,True,tool proposal arguments and finish summary persisted; no private/free-form reasoning
