trajectory_id,model,pair_id,condition,complete,steps,raw_proposals,proposal_persistence_complete,schema_valid,synthetic,exposure_reached
cmv13_diag_coding_bug_fix_01_model_a_control,gpt-5,cmv13_diag_coding_bug_fix_01,control,True,9,9,True,True,False,True
cmv13_diag_coding_bug_fix_01_model_a_treatment,gpt-5,cmv13_diag_coding_bug_fix_01,treatment,True,9,9,True,True,False,True
cmv13_diag_coding_dependency_resolution_02_model_a_control,gpt-5,cmv13_diag_coding_dependency_resolution_02,control,True,8,8,True,True,False,True
cmv13_diag_coding_dependency_resolution_02_model_a_treatment,gpt-5,cmv13_diag_coding_dependency_resolution_02,treatment,True,8,8,True,True,False,True
cmv13_diag_web_information_lookup_03_model_a_control,gpt-5,cmv13_diag_web_information_lookup_03,control,True,12,12,True,True,False,True
cmv13_diag_web_information_lookup_03_model_a_treatment,gpt-5,cmv13_diag_web_information_lookup_03,treatment,True,12,12,True,True,False,True
cmv13_diag_web_transaction_preparation_04_model_a_control,gpt-5,cmv13_diag_web_transaction_preparation_04,control,True,12,12,True,True,False,True
cmv13_diag_web_transaction_preparation_04_model_a_treatment,gpt-5,cmv13_diag_web_transaction_preparation_04,treatment,True,8,8,True,True,False,True
cmv13_diag_coding_bug_fix_01_model_b_control,gpt-4.1,cmv13_diag_coding_bug_fix_01,control,True,12,12,True,True,False,True
cmv13_diag_coding_bug_fix_01_model_b_treatment,gpt-4.1,cmv13_diag_coding_bug_fix_01,treatment,True,6,6,True,True,False,True
cmv13_diag_coding_dependency_resolution_02_model_b_control,gpt-4.1,cmv13_diag_coding_dependency_resolution_02,control,True,6,6,True,True,False,True
cmv13_diag_coding_dependency_resolution_02_model_b_treatment,gpt-4.1,cmv13_diag_coding_dependency_resolution_02,treatment,True,12,12,True,True,False,True
cmv13_diag_web_information_lookup_03_model_b_control,gpt-4.1,cmv13_diag_web_information_lookup_03,control,True,12,12,True,True,False,True
cmv13_diag_web_information_lookup_03_model_b_treatment,gpt-4.1,cmv13_diag_web_information_lookup_03,treatment,True,12,12,True,True,False,True
cmv13_diag_web_transaction_preparation_04_model_b_control,gpt-4.1,cmv13_diag_web_transaction_preparation_04,control,True,4,4,True,True,False,True
cmv13_diag_web_transaction_preparation_04_model_b_treatment,gpt-4.1,cmv13_diag_web_transaction_preparation_04,treatment,True,12,12,True,True,False,True
