paper,year,venue,citation_key,research_area,system_or_method,input_unit,agent_type,security_target,uses_trajectory,uses_intervention,uses_domain_alignment,uses_labels,cross_domain_test,cross_agent_paradigm_test,main_contribution,relation_to_our_work,closest_overlap,remaining_gap,source_url_or_doi
"Identifying the Risks of LM Agents with an LM-Emulated Sandbox",2024,"ICLR",ruan2024toolemu,"agent_security","ToolEmu","agent execution trace","tool agent","risky tool behavior",YES,NO,NO,YES,YES,NO,"LM-emulated sandbox and automated risk evaluator","establishes trajectory-level agent risk evaluation","tool traces and long-horizon failures","does not study paired delayed interventions or monitor transfer","https://proceedings.iclr.cc/paper_files/paper/2024/hash/7274ed909a312d4d869cc328ad1c5f04-Abstract-Conference.html"
"AI Control: Improving Safety Despite Intentional Subversion",2024,"ICML",greenblatt2024aicontrol,"agent_security","AI control protocols","code-generation sequence","coding agent","intentional subversion",YES,NO,NO,YES,NO,NO,"monitoring protocols for untrusted models","motivates runtime monitoring and false-positive tradeoffs","trajectory oversight in coding","assumes an untrusted model and explicit safety outcome","https://icml.cc/virtual/2024/poster/34322"
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents",2025,"ICLR",zhang2025asb,"agent_security","ASB","agent-tool interaction","tool agents","attacks and defenses",YES,YES,NO,YES,YES,NO,"broad agent attack and defense benchmark","situates agent-security evaluation","multi-scenario tool-agent security","centers attack success rather than pre/post behavioral evolution","https://openreview.net/forum?id=V4y0CpX4hK"
"The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents",2025,"ACL",jia2025taskshield,"agent_security","Task Shield","instruction and tool call","tool agent","task alignment under IPI",YES,YES,NO,YES,NO,NO,"test-time action-to-task alignment defense","closest action-level security monitor","uses task context for every action","does not model cross-paradigm trajectory normality","https://aclanthology.org/2025.acl-long.1435/"
"AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents",2026,"ICSE",wang2026agentspec,"agent_security","AgentSpec","runtime event/tool call","code embodied and driving agents","policy violation",YES,NO,NO,YES,YES,NO,"DSL-based runtime constraints","strong published runtime-enforcement comparator conceptually","online enforcement across domains","requires explicit rules and violation semantics","https://doi.org/10.1145/3744916.3764546"
"Progent: Programmable Privilege Control for LLM Agents",2025,"arXiv",shi2025progent,"agent_security","Progent","tool call and arguments","tool agent","least privilege",YES,YES,NO,YES,YES,NO,"programmable privilege policies enforced during execution","directly relevant to delegation and tool permissions","task-conditioned privilege control","requires authored/generated policies rather than label-free normality","https://arxiv.org/abs/2504.11703"
"Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection",2023,"AISec",greshake2023indirect,"prompt_injection","indirect prompt injection","retrieved external content","LLM-integrated application","environmental instruction hijacking",PARTIAL,YES,NO,YES,YES,NO,"introduced and systematized indirect prompt injection","foundational threat motivation","external artifacts influence downstream behavior","does not separate exposure from trajectory divergence","https://arxiv.org/abs/2302.12173"
"InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents",2024,"Findings of ACL",zhan2024injecagent,"prompt_injection","InjecAgent","tool-integrated test case","tool agent","harmful action or exfiltration",YES,YES,NO,YES,YES,NO,"1054-case IPI benchmark for tool agents","closest benchmark on untrusted tool observations","external instructions leading to tool action","uses attack intentions and success outcomes; no shared prefix","https://aclanthology.org/2024.findings-acl.624/"
"AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents",2024,"NeurIPS Datasets and Benchmarks",debenedetti2024agentdojo,"prompt_injection","AgentDojo","dynamic agent-tool trajectory","tool agent","prompt-injection robustness",YES,YES,NO,YES,YES,NO,"extensible dynamic security environment","closest dynamic paired agent-security benchmark","trusted task plus untrusted tool data","evaluates security properties not paradigm-transfer representations","https://proceedings.neurips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html"
"Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game",2024,"ICLR",toyer2024tensortrust,"prompt_injection","Tensor Trust","single prompt interaction","instruction-following LLM","prompt hijacking and extraction",NO,YES,NO,YES,YES,NO,"large human-generated attack/defense dataset","establishes prompt-injection variability","attack and defense generalization","not a tool-agent trajectory benchmark","https://proceedings.iclr.cc/paper_files/paper/2024/hash/519c51529c3544b3430bd8b17d400365-Abstract-Conference.html"
