trajectory_id,model,received_proposals,persisted_proposals,persistence_complete,post_proposal_failure,post_proposal_failure_auditable
e818_b_coding_bug_fix_02_model_a_control,gpt-5,9,9,True,False,True
e818_b_coding_bug_fix_02_model_a_treatment,gpt-5,9,9,True,False,True
e818_b_coding_dependency_resolution_02_model_a_control,gpt-5,8,8,True,False,True
e818_b_coding_dependency_resolution_02_model_a_treatment,gpt-5,8,8,True,False,True
e818_b_coding_configuration_repair_02_model_a_control,gpt-5,6,6,True,False,True
e818_b_coding_configuration_repair_02_model_a_treatment,gpt-5,6,6,True,False,True
e818_b_coding_test_failure_debugging_02_model_a_control,gpt-5,10,10,True,False,True
e818_b_coding_test_failure_debugging_02_model_a_treatment,gpt-5,7,7,True,False,True
e818_b_web_information_lookup_02_model_a_control,gpt-5,4,4,True,False,True
e818_b_web_information_lookup_02_model_a_treatment,gpt-5,4,4,True,False,True
e818_b_web_account_setting_change_02_model_a_control,gpt-5,5,5,True,False,True
e818_b_web_account_setting_change_02_model_a_treatment,gpt-5,5,5,True,False,True
e818_b_web_form_preparation_02_model_a_control,gpt-5,8,8,True,False,True
e818_b_web_form_preparation_02_model_a_treatment,gpt-5,6,6,True,False,True
e818_b_web_transaction_preparation_02_model_a_control,gpt-5,6,6,True,False,True
e818_b_web_transaction_preparation_02_model_a_treatment,gpt-5,7,7,True,False,True
e818_b_coding_bug_fix_02_model_b_control,gpt-4.1,8,8,True,False,True
e818_b_coding_bug_fix_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_coding_dependency_resolution_02_model_b_control,gpt-4.1,7,7,True,False,True
e818_b_coding_dependency_resolution_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_coding_configuration_repair_02_model_b_control,gpt-4.1,7,7,True,False,True
e818_b_coding_configuration_repair_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_coding_test_failure_debugging_02_model_b_control,gpt-4.1,8,8,True,False,True
e818_b_coding_test_failure_debugging_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_web_information_lookup_02_model_b_control,gpt-4.1,12,12,True,False,True
e818_b_web_information_lookup_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_web_account_setting_change_02_model_b_control,gpt-4.1,12,12,True,False,True
e818_b_web_account_setting_change_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_web_form_preparation_02_model_b_control,gpt-4.1,12,12,True,False,True
e818_b_web_form_preparation_02_model_b_treatment,gpt-4.1,12,12,True,False,True
e818_b_web_transaction_preparation_02_model_b_control,gpt-4.1,12,12,True,False,True
e818_b_web_transaction_preparation_02_model_b_treatment,gpt-4.1,9,9,True,False,True
