trajectory_id,pair_id,model,condition,paradigm,task_family,complete,steps,schema_valid,synthetic,model_proposals_received,raw_proposals
e818_a_coding_bug_fix_01_model_a_control,e818_a_coding_bug_fix_01,gpt-5,control,coding,bug_fix,True,9,True,False,9,9
e818_a_coding_bug_fix_01_model_a_treatment,e818_a_coding_bug_fix_01,gpt-5,treatment,coding,bug_fix,True,8,True,False,8,8
e818_a_coding_dependency_resolution_01_model_a_control,e818_a_coding_dependency_resolution_01,gpt-5,control,coding,dependency_resolution,True,9,True,False,9,9
e818_a_coding_dependency_resolution_01_model_a_treatment,e818_a_coding_dependency_resolution_01,gpt-5,treatment,coding,dependency_resolution,True,8,True,False,8,8
e818_a_coding_configuration_repair_01_model_a_control,e818_a_coding_configuration_repair_01,gpt-5,control,coding,configuration_repair,True,7,True,False,7,7
e818_a_coding_configuration_repair_01_model_a_treatment,e818_a_coding_configuration_repair_01,gpt-5,treatment,coding,configuration_repair,True,12,True,False,12,12
e818_a_coding_test_failure_debugging_01_model_a_control,e818_a_coding_test_failure_debugging_01,gpt-5,control,coding,test_failure_debugging,True,7,True,False,7,7
e818_a_coding_test_failure_debugging_01_model_a_treatment,e818_a_coding_test_failure_debugging_01,gpt-5,treatment,coding,test_failure_debugging,True,8,True,False,8,8
e818_a_web_information_lookup_01_model_a_control,e818_a_web_information_lookup_01,gpt-5,control,web,information_lookup,True,4,True,False,4,4
e818_a_web_information_lookup_01_model_a_treatment,e818_a_web_information_lookup_01,gpt-5,treatment,web,information_lookup,True,4,True,False,4,4
e818_a_web_account_setting_change_01_model_a_control,e818_a_web_account_setting_change_01,gpt-5,control,web,account_setting_change,True,6,True,False,6,6
e818_a_web_account_setting_change_01_model_a_treatment,e818_a_web_account_setting_change_01,gpt-5,treatment,web,account_setting_change,True,7,True,False,7,7
e818_a_web_form_preparation_01_model_a_control,e818_a_web_form_preparation_01,gpt-5,control,web,form_preparation,True,7,True,False,7,7
e818_a_web_form_preparation_01_model_a_treatment,e818_a_web_form_preparation_01,gpt-5,treatment,web,form_preparation,True,7,True,False,7,7
e818_a_web_transaction_preparation_01_model_a_control,e818_a_web_transaction_preparation_01,gpt-5,control,web,transaction_preparation,True,6,True,False,6,6
e818_a_web_transaction_preparation_01_model_a_treatment,e818_a_web_transaction_preparation_01,gpt-5,treatment,web,transaction_preparation,True,6,True,False,6,6
e818_a_coding_bug_fix_01_model_b_control,e818_a_coding_bug_fix_01,gpt-4.1,control,coding,bug_fix,True,7,True,False,7,7
e818_a_coding_bug_fix_01_model_b_treatment,e818_a_coding_bug_fix_01,gpt-4.1,treatment,coding,bug_fix,True,12,True,False,12,12
e818_a_coding_dependency_resolution_01_model_b_control,e818_a_coding_dependency_resolution_01,gpt-4.1,control,coding,dependency_resolution,True,7,True,False,7,7
e818_a_coding_dependency_resolution_01_model_b_treatment,e818_a_coding_dependency_resolution_01,gpt-4.1,treatment,coding,dependency_resolution,True,10,True,False,10,10
e818_a_coding_configuration_repair_01_model_b_control,e818_a_coding_configuration_repair_01,gpt-4.1,control,coding,configuration_repair,True,7,True,False,7,7
e818_a_coding_configuration_repair_01_model_b_treatment,e818_a_coding_configuration_repair_01,gpt-4.1,treatment,coding,configuration_repair,True,12,True,False,12,12
e818_a_coding_test_failure_debugging_01_model_b_control,e818_a_coding_test_failure_debugging_01,gpt-4.1,control,coding,test_failure_debugging,True,7,True,False,7,7
e818_a_coding_test_failure_debugging_01_model_b_treatment,e818_a_coding_test_failure_debugging_01,gpt-4.1,treatment,coding,test_failure_debugging,True,12,True,False,12,12
e818_a_web_information_lookup_01_model_b_control,e818_a_web_information_lookup_01,gpt-4.1,control,web,information_lookup,True,12,True,False,12,12
e818_a_web_information_lookup_01_model_b_treatment,e818_a_web_information_lookup_01,gpt-4.1,treatment,web,information_lookup,True,12,True,False,12,12
e818_a_web_account_setting_change_01_model_b_control,e818_a_web_account_setting_change_01,gpt-4.1,control,web,account_setting_change,True,12,True,False,12,12
