baseline_id,project_name,method_family,closest_prior_work,citation_key,relationship,published_or_project_specific,differences_from_prior,inputs,training_signal,test_signal,why_included,fair_baseline,notes,same_input_budget,same_training_split,same_threshold_protocol,extra_supervision,comparison_fairness,fairness_caveat
B0,"Action frequency","frequency/statistical anomaly","Anomaly Detection: A Survey",chandola2009survey,CANONICAL_METHOD_FAMILY,"project-specific implementation","Laplace-smoothed tool:target signatures and per-step surprisal","observable action and tool signature","normal control trajectories only","action rarity","minimal action-only normality baseline",YES,"not a reimplementation of one named algorithm",NO,YES,YES,NO,FAIR_WITH_CAVEAT,"uses less context and capacity by design"
B1,"Sequence reconstruction / autoencoder","reconstruction-based anomaly","Anomaly Detection Using Autoencoders with Nonlinear Dimensionality Reduction",sakurada2014autoencoder,LITERATURE_INSPIRED_ADAPTATION,"project-specific adaptation","one-hidden-layer tanh AE over hashed trajectory-step vectors; not the published architecture","task history observation action vector","normal control reconstruction","reconstruction error","canonical reconstruction family",YES,"also related to sequential log anomaly work",YES,YES,YES,NO,FAIR_WITH_CAVEAT,"capacity is intentionally small and not tuned as a modern deep sequence model"
B2,"Markov transition anomaly","probabilistic sequence anomaly","DeepLog; anomaly survey",du2017deeplog,CANONICAL_METHOD_FAMILY,"project-specific implementation","first-order Laplace-smoothed Markov model rather than LSTM next-event model","previous and current action/tool signature","normal control transition counts","negative log transition likelihood","canonical local-transition baseline",YES,"not a DeepLog reimplementation",NO,YES,YES,NO,FAIR_WITH_CAVEAT,"short-memory model tests a narrower question"
B3,"NDTR","nearest-normal transition retrieval","kNN distance outliers",ramaswamy2000knn,PROJECT_SPECIFIC_DIAGNOSTIC,"project-specific","learned hashed trajectory states plus expected-transition retrieval and residual scaling","task history observation current action","normal control trajectories; optional project contrastive metric","distance from predicted normal transition","tests whether normal transition support transfers",YES,"no direct published NDTR match found",YES,YES,YES,NO,DIAGNOSTIC_ONLY,"custom representation and task-family memory prevent claims of direct literature replication"
B4,"C-NDTR","context-conditioned nearest-normal transition retrieval","conditional/contextual anomaly detection taxonomy",chandola2009survey,PROJECT_SPECIFIC_DIAGNOSTIC,"project-specific","buckets NDTR memory by task family trajectory phase and prior tool state","NDTR inputs plus task-family/phase/tool context","normal controls","context-conditioned transition distance","tests whether simple task context fixes novelty confounding",YES,"no direct published equivalent found",YES,YES,YES,NO,DIAGNOSTIC_ONLY,"context buckets change support and effective sample size"
B5,"CDM","matched-reference continuation comparison","weakly supervised paired representation and edit-distance alignment",locatello2020weak,PROJECT_SPECIFIC_DIAGNOSTIC,"project-specific","aligns observed prefixes to matched normal reference continuations; not a causal estimator","task history and matched control references","normal reference trajectories","distance to closest expected continuation","tests value of matched counterfactual-like context",NO,"post-hoc/matched reference availability differs from an online normal-only monitor",NO,PARTIAL,YES,YES,NOT_COMPARABLE,"paired reference information is unavailable to ordinary online monitors; do not present as causal oracle"
B6,"Raw + transition kNN","distance-based outlier over transition vectors","Efficient Algorithms for Mining Outliers from Large Data Sets",ramaswamy2000knn,LITERATURE_INSPIRED_ADAPTATION,"project-specific adaptation","5NN over raw hashed transition vectors with trajectory-level calibration","observable raw transition features","TRAIN benign control memory","mean distance to five nearest normal transitions","isolates detector from representation",YES,"paired with B7 using identical monitor",YES,YES,YES,NO,FAIR,"fair direct representation comparison with B7"
B7,"PIDR + transition kNN","distance-based outlier over learned representation","kNN outlier plus domain-invariant representation learning",ramaswamy2000knn,LITERATURE_INSPIRED_ADAPTATION,"project-specific pipeline","same 5NN monitor as B6 applied to frozen PIDR transitions","observable PIDR transition representation","TRAIN benign control memory; PIDR previously trained with pair construction metadata","mean distance to five nearest normal transitions","tests representation contribution under fixed detector",YES,"PIDR training has additional paired intervention signal; this is the intended method comparison",YES,YES,YES,"paired metadata in representation training",FAIR_WITH_CAVEAT,"detector budget is identical but representation supervision is not"
B8,"Deep CORAL","second-order domain alignment","Deep CORAL: Correlation Alignment for Deep Domain Adaptation",sun2016deepcoral,LITERATURE_INSPIRED_ADAPTATION,"published method adaptation","label-free pre-exposure covariance alignment over shared PIDR encoder","observable prefix representation","TRAIN benign pre-exposure domain identity","latent representation","tests generic covariance alignment",YES,"retrospective seed-4 comparison",YES,YES,YES,NO,FAIR_WITH_CAVEAT,"dependency-light diagonal adaptation rather than reference network"
B9,"MMD / DAN-style","kernel distribution alignment","Learning Transferable Features with Deep Adaptation Networks",long2015dan,LITERATURE_INSPIRED_ADAPTATION,"published method adaptation","multi-kernel-inspired pre-exposure alignment over shared PIDR encoder","observable prefix representation","TRAIN benign pre-exposure domain identity","latent representation","tests generic distribution alignment",YES,"retrospective seed-4 comparison",YES,YES,YES,NO,FAIR_WITH_CAVEAT,"dependency-light projection update; reference implementation validation remains open"
B10,"DeepLog-style","next-event sequence anomaly","DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning",du2017deeplog,LITERATURE_INSPIRED_ADAPTATION,"published method adaptation","smoothed recurrent-history next-event predictor over normalized agent events","observable event history","TRAIN controls only","next-event surprise","tests modern sequence prediction family",YES,"reported separately from representation methods",YES,YES,YES,NO,FAIR_WITH_CAVEAT,"dependency-light history model rather than neural LSTM implementation"
