trajectory_id,model,received_proposals,persisted_proposals,persistence_rate,post_proposal_failure,auditable,raw_proposal_path
v13_sealed_coding_bug_fix_01_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_01_model_a_control.jsonl
v13_sealed_coding_bug_fix_01_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_01_model_b_control.jsonl
v13_sealed_coding_bug_fix_01_model_a_treatment,gpt-5,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_01_model_a_treatment.jsonl
v13_sealed_coding_bug_fix_01_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_01_model_b_treatment.jsonl
v13_sealed_coding_bug_fix_02_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_02_model_a_control.jsonl
v13_sealed_coding_bug_fix_02_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_02_model_b_control.jsonl
v13_sealed_coding_bug_fix_02_model_a_treatment,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_02_model_a_treatment.jsonl
v13_sealed_coding_bug_fix_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_02_model_b_treatment.jsonl
v13_sealed_coding_bug_fix_03_model_a_control,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_03_model_a_control.jsonl
v13_sealed_coding_bug_fix_03_model_b_control,gpt-4.1,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_03_model_b_control.jsonl
v13_sealed_coding_bug_fix_03_model_a_treatment,gpt-5,10,10,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_03_model_a_treatment.jsonl
v13_sealed_coding_bug_fix_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_03_model_b_treatment.jsonl
v13_sealed_coding_bug_fix_04_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_04_model_a_control.jsonl
v13_sealed_coding_bug_fix_04_model_b_control,gpt-4.1,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_04_model_b_control.jsonl
v13_sealed_coding_bug_fix_04_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_04_model_a_treatment.jsonl
v13_sealed_coding_bug_fix_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_coding_bug_fix_04_model_b_treatment.jsonl
