claim_id,claim_text,claim_type,experiment,dataset_version,N,metric,point_estimate,confidence_interval,evidence_status,allowed_wording,forbidden_wording,confirmatory_or_exploratory,notes,related_work_support,closest_prior_work,novelty_status,citation_needed
C1,Delayed intervention increases post-exposure action divergence,benchmark effect,70,v1,133,mean post-pre action divergence,0.4986,"[0.4400, 0.5565]",SUPPORTED,"Post-exposure trajectory divergence is higher under the randomized paired protocol","attack success or authority violation increased",CONFIRMATORY,"Pair bootstrap","Indirect-prompt-injection benchmarks establish environmental influence but usually use attack success or endpoint security properties","AgentDojo; InjecAgent; Greshake et al.",POTENTIALLY_NOVEL_COMBINATION,YES
C2,Coding and Web response magnitudes differ,heterogeneity,70,v1,133,Web-minus-Coding action delta,0.4281,"[0.3322, 0.5196]",SUPPORTED,"Response magnitude differs between Coding and Web","paradigm identity causes a universal mechanism",CONFIRMATORY,"80 Coding and 53 Web exposure-reached","Coding and Web benchmarks establish distinct interfaces but not this matched heterogeneous response estimate","SWE-bench; BrowserGym",NOVEL_PROBLEM_SETTING,YES
C3,Substantial benign pre-exposure path variation exists,benchmark characterization,70.1,v1,133,pre-divergence rate,0.4511,"Wilson intervals reported by strata",SUPPORTED,"Substantial benign execution-path variation exists","pre-divergence is protocol failure",CONFIRMATORY,"60 of 133","Sequence anomaly and agent benchmark literature recognize stochastic trajectories; exact paired pre-exposure audit is project evidence","DeepLog; ToolEmu",NOVEL_APPLICATION,YES
C4,Post-pre effect persists in pre-diverged pairs,stratified effect,70.1,v1,60,mean action delta,0.2538,"[0.1773, 0.3287]",SUPPORTED,"Intervention-associated variation persists on top of benign variation","causal internal-state change",CONFIRMATORY,"Pre-identical delta also positive","Paired-intervention literature motivates conditioning on observed baseline change but does not establish this agent result","Brehmer et al.; AgentDojo",NOVEL_PROBLEM_SETTING,YES
C5,v0 cross-paradigm monitors fail,baseline motivation,61-62,v0 pilot,48/12,AUROC and benign FA,"NDTR C→W 0.4416 FA 100%; CDM C→W 0.4095 detection 0%","not consistently available",SUPPORTED,"Pilot monitors exhibit severe cross-paradigm failure modes","v1 confirmatory generalization result",EXPLORATORY,"PILOT / DEVELOPMENT EVIDENCE","Domain generalization predicts distribution-shift failure; no retained source directly tests agent-security monitor transfer","DomainBed; DANN; SWE-bench; BrowserGym",NOVEL_PROBLEM_SETTING,YES
C6,PIDR-v1 increases post-exposure separation,representation geometry,72,v1 seed4,24,PIDR-minus-Raw post separation,0.3900,"[0.2851, 0.5020]",SUPPORTED,"PIDR-v1 preserves stronger post-exposure intervention-associated separation","detector success",CONFIRMATORY,"One-shot model-selection-sealed evaluation","Margin separation and paired-intervention representation are established; trajectory-security application is new setting","Weakly Supervised Causal Representation Learning; contrastive DG",POTENTIALLY_NOVEL_COMBINATION,YES
C7,PIDR-v1 reduces paradigm information,diagnostic probe,72,v1 seed4,32,paradigm probe accuracy,"0.9959 to 0.8975","no bootstrap CI",SUPPORTED,"PIDR-v1 reduces paradigm-probe accuracy","universal paradigm invariance",CONFIRMATORY,"Frozen TRAIN-derived probe protocol","Explicit domain-information suppression is established in DANN and related work","DANN; Deep CORAL",NOVEL_APPLICATION,YES
C8,PIDR-v1 improves downstream monitoring,downstream diagnostic,72,v1 seed4,32,AUROC delta,0.0431,"[-0.0635, 0.1533]",INCONCLUSIVE,"Downstream gains were not statistically confirmed","PIDR-v1 solves monitoring",CONFIRMATORY,"FA rose and detection fell","Runtime monitoring and invariant representations are established separately","Task Shield; AgentSpec; DANN",UNRESOLVED,YES
C9,PIDR-v1 achieves benign cross-paradigm alignment,representation geometry,72,v1 seed4,32,pre-benign distance,"0.9156 to 0.9349","difference [0.0135, 0.0770]",NOT_SUPPORTED,"Absolute pre-benign distance did not improve","PIDR aligns all benign paths",CONFIRMATORY,"Distance increased","Benign/domain alignment is an established objective, but this empirical claim failed","Deep CORAL; DAN/MMD",NOT_NOVEL,YES
C10,PIDR-v1 universally generalizes across paradigms,external validity,none,none,0,third-paradigm evaluation,NA,NA,NOT_TESTED,"Third-paradigm generalization remains untested","universal paradigm invariance",EXPLORATORY,"Future transfer domain UNASSIGNED","DG literature defines unseen-domain evaluation; current two-paradigm test is insufficient","DomainBed; IRM",UNRESOLVED,YES
