trajectory_id,model,output_exists,schema_valid,corrupt
v13_sealed_coding_bug_fix_01_model_a_control,gpt-5,True,True,False
v13_sealed_coding_bug_fix_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_bug_fix_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_02_model_a_control,gpt-5,True,True,False
v13_sealed_coding_bug_fix_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_bug_fix_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_03_model_a_control,gpt-5,True,True,False
v13_sealed_coding_bug_fix_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_bug_fix_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_04_model_a_control,gpt-5,True,True,False
v13_sealed_coding_bug_fix_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_bug_fix_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_05_model_a_control,gpt-5,True,True,False
v13_sealed_coding_bug_fix_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_bug_fix_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_bug_fix_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_01_model_a_control,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_02_model_a_control,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_03_model_a_control,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_04_model_a_control,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_05_model_a_control,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_dependency_resolution_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_dependency_resolution_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_01_model_a_control,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_02_model_a_control,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_03_model_a_control,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_04_model_a_control,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_05_model_a_control,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_configuration_repair_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_configuration_repair_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_01_model_a_control,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_02_model_a_control,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_03_model_a_control,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_04_model_a_control,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_05_model_a_control,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_coding_test_failure_debugging_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_coding_test_failure_debugging_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_01_model_a_control,gpt-5,True,True,False
v13_sealed_web_information_lookup_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_information_lookup_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_02_model_a_control,gpt-5,True,True,False
v13_sealed_web_information_lookup_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_information_lookup_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_03_model_a_control,gpt-5,True,True,False
v13_sealed_web_information_lookup_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_information_lookup_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_04_model_a_control,gpt-5,True,True,False
v13_sealed_web_information_lookup_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_information_lookup_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_05_model_a_control,gpt-5,True,True,False
v13_sealed_web_information_lookup_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_information_lookup_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_information_lookup_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_01_model_a_control,gpt-5,True,True,False
v13_sealed_web_account_setting_change_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_account_setting_change_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_02_model_a_control,gpt-5,True,True,False
v13_sealed_web_account_setting_change_02_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_account_setting_change_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_account_setting_change_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_03_model_a_control,gpt-5,True,True,False
v13_sealed_web_account_setting_change_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_account_setting_change_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_04_model_a_control,gpt-5,True,True,False
v13_sealed_web_account_setting_change_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_account_setting_change_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_05_model_a_control,gpt-5,True,True,False
v13_sealed_web_account_setting_change_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_account_setting_change_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_account_setting_change_05_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_01_model_a_control,gpt-5,True,True,False
v13_sealed_web_form_preparation_01_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_form_preparation_01_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_02_model_a_control,gpt-5,True,True,False
v13_sealed_web_form_preparation_02_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_02_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_form_preparation_02_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_03_model_a_control,gpt-5,True,True,False
v13_sealed_web_form_preparation_03_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_03_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_form_preparation_03_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_04_model_a_control,gpt-5,True,True,False
v13_sealed_web_form_preparation_04_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_04_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_form_preparation_04_model_b_treatment,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_05_model_a_control,gpt-5,True,True,False
v13_sealed_web_form_preparation_05_model_b_control,gpt-4.1,True,True,False
v13_sealed_web_form_preparation_05_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_form_preparation_05_model_b_treatment,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_01_model_a_control,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_01_model_b_control,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_01_model_a_treatment,gpt-5,True,True,False
v13_sealed_web_transaction_preparation_01_model_b_treatment,gpt-4.1,False,False,False
v13_sealed_web_transaction_preparation_02_model_a_control,gpt-5,True,True,False
