trajectory_id,model,failure_phase,failure_reason,model_proposals_received,successful_missing_only_retry,persistent_failure,raw_evidence_required,raw_evidence_present
v13_sealed_web_account_setting_change_02_model_b_control,gpt-4.1,POST_PROPOSAL,API_TRANSPORT_OR_HTTP,1,False,True,True,True
v13_sealed_web_form_preparation_05_model_b_treatment,gpt-4.1,POST_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,9,False,True,True,True
v13_sealed_web_transaction_preparation_01_model_b_control,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_01_model_b_treatment,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_02_model_b_control,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_02_model_b_treatment,gpt-4.1,POST_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,1,False,True,True,True
v13_sealed_web_transaction_preparation_03_model_b_control,gpt-4.1,POST_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,1,False,True,True,True
v13_sealed_web_transaction_preparation_03_model_b_treatment,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_04_model_b_control,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_04_model_b_treatment,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_05_model_b_control,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
v13_sealed_web_transaction_preparation_05_model_b_treatment,gpt-4.1,PRE_PROPOSAL,API_CREDIT_BALANCE_EXHAUSTED,0,False,True,False,False
