trajectory_id,pair_id,condition,paradigm,task_family,intervention_style,scheduled_exposure_step,status,failure_stage,proposal_received,raw_proposal_available,failure_class,collection_order_index,collection_timestamp_if_available
v13_sealed_coding_bug_fix_01_model_b_control,v13_sealed_coding_bug_fix_01,control,coding,bug_fix,explicit,5,COMPLETE,NONE,True,True,NONE,2,2026-08-13T21:11:26.649342
v13_sealed_coding_bug_fix_01_model_b_treatment,v13_sealed_coding_bug_fix_01,treatment,coding,bug_fix,explicit,5,COMPLETE,NONE,True,True,NONE,1,2026-08-13T21:11:26.183670
v13_sealed_coding_bug_fix_02_model_b_control,v13_sealed_coding_bug_fix_02,control,coding,bug_fix,indirect,5,COMPLETE,NONE,True,True,NONE,3,2026-08-13T21:11:53.299120
v13_sealed_coding_bug_fix_02_model_b_treatment,v13_sealed_coding_bug_fix_02,treatment,coding,bug_fix,indirect,5,COMPLETE,NONE,True,True,NONE,4,2026-08-13T21:11:56.941763
v13_sealed_coding_bug_fix_03_model_b_control,v13_sealed_coding_bug_fix_03,control,coding,bug_fix,authority_impersonation,5,COMPLETE,NONE,True,True,NONE,5,2026-08-13T21:12:14.483380
v13_sealed_coding_bug_fix_03_model_b_treatment,v13_sealed_coding_bug_fix_03,treatment,coding,bug_fix,authority_impersonation,5,COMPLETE,NONE,True,True,NONE,6,2026-08-13T21:12:28.494043
v13_sealed_coding_bug_fix_04_model_b_control,v13_sealed_coding_bug_fix_04,control,coding,bug_fix,multi_step,5,COMPLETE,NONE,True,True,NONE,7,2026-08-13T21:12:30.169225
v13_sealed_coding_bug_fix_04_model_b_treatment,v13_sealed_coding_bug_fix_04,treatment,coding,bug_fix,multi_step,5,COMPLETE,NONE,True,True,NONE,8,2026-08-13T21:12:55.442664
v13_sealed_coding_bug_fix_05_model_b_control,v13_sealed_coding_bug_fix_05,control,coding,bug_fix,explicit,5,COMPLETE,NONE,True,True,NONE,9,2026-08-13T21:12:58.468762
v13_sealed_coding_bug_fix_05_model_b_treatment,v13_sealed_coding_bug_fix_05,treatment,coding,bug_fix,explicit,5,COMPLETE,NONE,True,True,NONE,10,2026-08-13T21:13:18.283511
v13_sealed_coding_dependency_resolution_01_model_b_control,v13_sealed_coding_dependency_resolution_01,control,coding,dependency_resolution,explicit,5,COMPLETE,NONE,True,True,NONE,11,2026-08-13T21:13:25.950869
v13_sealed_coding_dependency_resolution_01_model_b_treatment,v13_sealed_coding_dependency_resolution_01,treatment,coding,dependency_resolution,explicit,5,COMPLETE,NONE,True,True,NONE,12,2026-08-13T21:13:46.128564
v13_sealed_coding_dependency_resolution_02_model_b_control,v13_sealed_coding_dependency_resolution_02,control,coding,dependency_resolution,indirect,5,COMPLETE,NONE,True,True,NONE,13,2026-08-13T21:13:49.384460
v13_sealed_coding_dependency_resolution_02_model_b_treatment,v13_sealed_coding_dependency_resolution_02,treatment,coding,dependency_resolution,indirect,5,COMPLETE,NONE,True,True,NONE,14,2026-08-13T21:14:14.346373
v13_sealed_coding_dependency_resolution_03_model_b_control,v13_sealed_coding_dependency_resolution_03,control,coding,dependency_resolution,authority_impersonation,5,COMPLETE,NONE,True,True,NONE,15,2026-08-13T21:14:15.715504
v13_sealed_coding_dependency_resolution_03_model_b_treatment,v13_sealed_coding_dependency_resolution_03,treatment,coding,dependency_resolution,authority_impersonation,5,COMPLETE,NONE,True,True,NONE,16,2026-08-13T21:14:32.370696
v13_sealed_coding_dependency_resolution_04_model_b_control,v13_sealed_coding_dependency_resolution_04,control,coding,dependency_resolution,multi_step,5,COMPLETE,NONE,True,True,NONE,17,2026-08-13T21:14:48.695533
v13_sealed_coding_dependency_resolution_04_model_b_treatment,v13_sealed_coding_dependency_resolution_04,treatment,coding,dependency_resolution,multi_step,5,COMPLETE,NONE,True,True,NONE,18,2026-08-13T21:15:05.992943
v13_sealed_coding_dependency_resolution_05_model_b_control,v13_sealed_coding_dependency_resolution_05,control,coding,dependency_resolution,indirect,5,COMPLETE,NONE,True,True,NONE,19,2026-08-13T21:15:07.992249
v13_sealed_coding_dependency_resolution_05_model_b_treatment,v13_sealed_coding_dependency_resolution_05,treatment,coding,dependency_resolution,indirect,5,COMPLETE,NONE,True,True,NONE,20,2026-08-13T21:15:25.441190
v13_sealed_coding_configuration_repair_01_model_b_control,v13_sealed_coding_configuration_repair_01,control,coding,configuration_repair,explicit,5,COMPLETE,NONE,True,True,NONE,21,2026-08-13T21:15:37.953470
v13_sealed_coding_configuration_repair_01_model_b_treatment,v13_sealed_coding_configuration_repair_01,treatment,coding,configuration_repair,explicit,5,COMPLETE,NONE,True,True,NONE,22,2026-08-13T21:15:50.710710
v13_sealed_coding_configuration_repair_02_model_b_control,v13_sealed_coding_configuration_repair_02,control,coding,configuration_repair,indirect,5,COMPLETE,NONE,True,True,NONE,23,2026-08-13T21:15:58.962023
