trajectory_id,pair_id,model,step,raw_proposal_path,failure_class,exception,auditable
v13_sealed_web_account_setting_change_02_model_b_control,v13_sealed_web_account_setting_change_02,gpt-4.1,1,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_02_model_b_control.jsonl,POST_PROPOSAL_API_FAILURE,"runners/crossmodel_v13_agent.py"", line 54, in <module>
    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 403: {
  ""error"": {
    ""type"": ""invalid_request_error"",
    ""code"": ""http_unsupported"",
    ""message"": ""The OpenAI API is only accessible over HTTPS. Ensure the URL starts with 'https://' and not 'http://'."",
    ""param"": null
  }
}
",YES
v13_sealed_web_form_preparation_05_model_b_treatment,v13_sealed_web_form_preparation_05,gpt-4.1,9,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_05_model_b_treatment.jsonl,POST_PROPOSAL_API_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_01_model_b_control,v13_sealed_web_transaction_preparation_01,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_01_model_b_treatment,v13_sealed_web_transaction_preparation_01,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_02_model_b_control,v13_sealed_web_transaction_preparation_02,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_02_model_b_treatment,v13_sealed_web_transaction_preparation_02,gpt-4.1,1,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_02_model_b_treatment.jsonl,POST_PROPOSAL_API_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_03_model_b_control,v13_sealed_web_transaction_preparation_03,gpt-4.1,1,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_03_model_b_control.jsonl,POST_PROPOSAL_API_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_03_model_b_treatment,v13_sealed_web_transaction_preparation_03,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_04_model_b_control,v13_sealed_web_transaction_preparation_04,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
v13_sealed_web_transaction_preparation_04_model_b_treatment,v13_sealed_web_transaction_preparation_04,gpt-4.1,,NOT_EXPECTED_PRE_PROPOSAL,PRE_PROPOSAL_API_TRANSPORT_FAILURE,"    if __name__=='__main__':main()
                            ^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/crossmodel_v13_agent.py"", line 33, in main
    request=api.call(msgs);seq=1;event(a.dispatch_log,'MODEL_PROPOSAL_RECEIVED',seq,**ctx,step=step);seq+=1
            ^^^^^^^^^^^^^^
  File ""/Users/gouwenbin/apd-work/authority-evolution/runners/v1_agent_common.py"", line 20, in call
    if attempt==4 or error.code<500:raise RuntimeError(f'API HTTP {error.code}: {error.read().decode(errors=""replace"")[:500]}') from error
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: API HTTP 429: {
    ""error"": {
        ""message"": ""You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""credit_balance_exhausted""
    }
}

",YES
