trajectory_id,pair_id,model,condition,valid_output,active_failure
v13_sealed_coding_bug_fix_01_model_a_control,v13_sealed_coding_bug_fix_01,gpt-5,control,True,False
v13_sealed_coding_bug_fix_01_model_b_control,v13_sealed_coding_bug_fix_01,gpt-4.1,control,True,False
v13_sealed_coding_bug_fix_01_model_a_treatment,v13_sealed_coding_bug_fix_01,gpt-5,treatment,True,False
v13_sealed_coding_bug_fix_01_model_b_treatment,v13_sealed_coding_bug_fix_01,gpt-4.1,treatment,True,False
v13_sealed_coding_bug_fix_02_model_a_control,v13_sealed_coding_bug_fix_02,gpt-5,control,True,False
v13_sealed_coding_bug_fix_02_model_b_control,v13_sealed_coding_bug_fix_02,gpt-4.1,control,True,False
v13_sealed_coding_bug_fix_02_model_a_treatment,v13_sealed_coding_bug_fix_02,gpt-5,treatment,True,False
v13_sealed_coding_bug_fix_02_model_b_treatment,v13_sealed_coding_bug_fix_02,gpt-4.1,treatment,True,False
v13_sealed_coding_bug_fix_03_model_a_control,v13_sealed_coding_bug_fix_03,gpt-5,control,True,False
v13_sealed_coding_bug_fix_03_model_b_control,v13_sealed_coding_bug_fix_03,gpt-4.1,control,True,False
v13_sealed_coding_bug_fix_03_model_a_treatment,v13_sealed_coding_bug_fix_03,gpt-5,treatment,True,False
v13_sealed_coding_bug_fix_03_model_b_treatment,v13_sealed_coding_bug_fix_03,gpt-4.1,treatment,True,False
v13_sealed_coding_bug_fix_04_model_a_control,v13_sealed_coding_bug_fix_04,gpt-5,control,True,False
v13_sealed_coding_bug_fix_04_model_b_control,v13_sealed_coding_bug_fix_04,gpt-4.1,control,True,False
v13_sealed_coding_bug_fix_04_model_a_treatment,v13_sealed_coding_bug_fix_04,gpt-5,treatment,True,False
v13_sealed_coding_bug_fix_04_model_b_treatment,v13_sealed_coding_bug_fix_04,gpt-4.1,treatment,True,False
v13_sealed_coding_bug_fix_05_model_a_control,v13_sealed_coding_bug_fix_05,gpt-5,control,True,False
v13_sealed_coding_bug_fix_05_model_b_control,v13_sealed_coding_bug_fix_05,gpt-4.1,control,True,False
